Time;Open;High;Low;Close
2025.10.28 04:30;25977.98;25978.61;25971.95;25977.18
2025.10.28 04:45;25977.23;25988.11;25976.45;25980.93
2025.10.28 05:00;25980.99;25982.47;25972.22;25978.43
2025.10.28 05:15;25978.22;25978.48;25963.98;25968.23
2025.10.28 05:30;25967.95;25970.49;25961.43;25961.93
2025.10.28 05:45;25961.95;25965.97;25955.37;25956.99
2025.10.28 06:00;25956.83;25961.98;25945.97;25947.73
2025.10.28 06:15;25947.44;25954.99;25947.44;25952.23
2025.10.28 06:30;25952.11;25953.72;25945.48;25949.44
2025.10.28 06:45;25949.47;25966.47;25949.18;25960.44
2025.10.28 07:00;25960.24;25969.49;25956.19;25959.43
2025.10.28 07:15;25959.18;25968.22;25953.19;25965.70
2025.10.28 07:30;25964.98;25983.94;25964.98;25967.98
2025.10.28 07:45;25967.95;25971.45;25956.44;25956.94
2025.10.28 08:00;25956.74;25979.88;25955.86;25960.16
2025.10.28 08:15;25960.13;25977.12;25958.90;25972.11
2025.10.28 08:30;25972.37;25974.88;25964.38;25968.16
2025.10.28 08:45;25967.91;25968.41;25951.16;25957.41
2025.10.28 09:00;25957.40;25961.33;25942.36;25947.36
2025.10.28 09:15;25947.16;25958.38;25942.61;25949.37
2025.10.28 09:30;25949.66;25959.92;25945.38;25952.91
2025.10.28 09:45;25953.38;25972.56;25952.90;25967.42
2025.10.28 10:00;25967.40;25973.92;25966.65;25970.11
2025.10.28 10:15;25970.16;25976.61;25963.40;25968.91
2025.10.28 10:30;25969.11;25972.11;25961.92;25969.38
2025.10.28 10:45;25969.56;25980.42;25968.92;25974.63
2025.10.28 11:00;25974.66;25983.61;25966.63;25972.65
2025.10.28 11:15;25972.61;25988.38;25971.42;25984.67
2025.10.28 11:30;25984.90;25987.91;25975.11;25978.37
2025.10.28 11:45;25978.66;25980.40;25970.62;25977.16
2025.10.28 12:00;25976.66;25991.07;25976.66;25986.16
2025.10.28 12:15;25986.13;26001.63;25978.16;25994.61
2025.10.28 12:30;25994.41;26002.37;25989.37;26001.67
2025.10.28 12:45;26001.90;26002.42;25989.90;25992.65
2025.10.28 13:00;25992.61;26009.15;25991.36;26007.86
2025.10.28 13:15;26008.11;26023.42;26004.91;26018.67
2025.10.28 13:30;26018.61;26018.92;26004.36;26005.86
2025.10.28 13:45;26005.67;26012.38;26000.61;26011.58
2025.10.28 14:00;26011.65;26060.16;26008.44;26056.15
2025.10.28 14:15;26056.11;26059.67;26033.67;26049.87
2025.10.28 14:30;26050.65;26092.91;26041.61;26076.13
2025.10.28 14:45;26076.11;26089.20;26028.87;26062.17
2025.10.28 15:00;26062.40;26075.61;26053.91;26069.81
2025.10.28 15:15;26070.17;26073.33;26032.86;26045.15
2025.10.28 15:30;26045.06;26050.81;26013.63;26022.91
2025.10.28 15:45;26022.66;26045.33;26008.11;26034.61
2025.10.28 16:00;26033.10;26053.41;26031.90;26040.12
2025.10.28 16:15;26040.67;26050.08;26032.65;26044.61
2025.10.28 16:30;26043.92;26052.85;26007.12;26034.86
2025.10.28 16:45;26034.91;26059.92;26031.91;26059.92
2025.10.28 17:00;26059.91;26085.85;26059.66;26073.60
2025.10.28 17:15;26073.62;26093.62;26068.13;26092.11
2025.10.28 17:30;26091.62;26145.17;26078.11;26116.42
2025.10.28 17:45;26116.63;26131.66;26106.58;26107.85
2025.10.28 18:00;26107.57;26136.86;26103.11;26130.12
2025.10.28 18:15;26129.86;26139.12;26116.05;26127.36
2025.10.28 18:30;26127.60;26149.32;26124.63;26142.86
2025.10.28 18:45;26143.32;26157.15;26133.82;26152.31
2025.10.28 19:00;26152.60;26159.17;26146.61;26157.08
2025.10.28 19:15;26156.63;26185.12;26154.65;26181.08
2025.10.28 19:30;26181.13;26189.67;26176.15;26184.16
2025.10.28 19:45;26184.36;26194.17;26178.31;26193.65
2025.10.28 20:00;26193.87;26210.53;26179.29;26207.02
2025.10.28 20:15;26206.74;26229.50;26193.75;26224.48
2025.10.28 20:30;26224.73;26230.03;26183.25;26193.28
2025.10.28 20:45;26192.98;26201.52;26157.77;26159.79
2025.10.28 21:00;26159.29;26172.49;26149.79;26156.03
2025.10.28 21:15;26156.03;26168.54;26154.98;26164.00
2025.10.28 21:30;26164.04;26173.53;26161.00;26167.52
2025.10.28 21:45;26167.50;26177.12;26161.25;26170.58
2025.10.28 23:00;26176.97;26187.47;26171.93;26187.47
2025.10.28 23:15;26187.22;26189.32;26183.43;26185.74
2025.10.28 23:30;26185.74;26187.97;26173.44;26173.44
2025.10.28 23:45;26173.68;26176.20;26167.93;26171.69
2025.10.29 00:00;26172.24;26174.68;26163.93;26174.19
2025.10.29 00:15;26173.44;26185.68;26173.44;26175.68
2025.10.29 00:30;26174.68;26183.24;26173.43;26177.74
2025.10.29 00:45;26177.95;26187.98;26176.23;26182.73
2025.10.29 01:00;26182.68;26183.98;26165.20;26172.22
2025.10.29 01:15;26172.48;26186.61;26169.18;26184.32
2025.10.29 01:30;26184.69;26192.95;26175.47;26176.98
2025.10.29 01:45;26177.44;26180.35;26166.18;26173.94
2025.10.29 02:00;26173.98;26190.22;26171.93;26186.24
2025.10.29 02:15;26186.18;26197.94;26184.95;26193.69
2025.10.29 02:30;26193.49;26216.94;26192.43;26199.74
2025.10.29 02:45;26199.45;26221.49;26189.43;26214.68
2025.10.29 03:00;26214.93;26238.73;26213.36;26229.94
2025.10.29 03:15;26229.74;26251.49;26226.22;26245.43
2025.10.29 03:30;26245.74;26250.12;26238.69;26240.24
2025.10.29 03:45;26240.19;26250.20;26237.19;26238.69
2025.10.29 04:00;26238.44;26243.99;26236.43;26237.69
2025.10.29 04:15;26237.49;26245.97;26231.93;26235.98
2025.10.29 04:30;26235.95;26245.74;26223.68;26243.43
2025.10.29 04:45;26243.48;26249.86;26239.68;26243.94
2025.10.29 05:00;26243.68;26243.72;26219.93;26222.18
2025.10.29 05:15;26221.93;26241.19;26221.72;26236.43
2025.10.29 05:30;26236.18;26246.43;26236.18;26244.47
2025.10.29 05:45;26244.47;26248.61;26243.45;26244.98
2025.10.29 06:00;26244.93;26253.19;26244.19;26248.68
2025.10.29 06:15;26248.47;26258.49;26246.43;26256.45
2025.10.29 06:30;26256.49;26261.58;26249.18;26258.61
2025.10.29 06:45;26258.43;26262.74;26250.74;26259.99
2025.10.29 07:00;26259.68;26272.73;26255.49;26270.23
2025.10.29 07:15;26269.99;26288.24;26266.47;26284.49
2025.10.29 07:30;26284.43;26290.45;26272.68;26274.74
2025.10.29 07:45;26274.43;26280.24;26273.23;26280.24
2025.10.29 08:00;26278.97;26282.67;26266.38;26279.65
2025.10.29 08:15;26279.67;26283.40;26260.32;26275.41
2025.10.29 08:30;26275.12;26297.85;26272.61;26292.90
2025.10.29 08:45;26292.65;26296.40;26280.61;26291.11
2025.10.29 09:00;26290.90;26305.12;26286.42;26288.66
2025.10.29 09:15;26288.67;26308.91;26283.62;26288.37
2025.10.29 09:30;26288.15;26299.06;26266.61;26275.56
2025.10.29 09:45;26274.12;26280.88;26259.37;26267.92
2025.10.29 10:00;26267.91;26269.91;26235.13;26240.11
2025.10.29 10:15;26241.17;26254.61;26231.36;26236.17
2025.10.29 10:30;26236.37;26240.38;26228.66;26233.67
2025.10.29 10:45;26233.90;26239.91;26225.61;26236.38
2025.10.29 11:00;26236.36;26251.13;26229.63;26246.61
2025.10.29 11:15;26247.16;26262.63;26242.61;26259.15
2025.10.29 11:30;26259.36;26260.16;26245.86;26250.67
2025.10.29 11:45;26250.92;26272.17;26248.86;26248.86
2025.10.29 12:00;26248.90;26274.06;26246.90;26273.15
2025.10.29 12:15;26273.07;26290.16;26265.37;26287.88
2025.10.29 12:30;26287.36;26295.41;26279.91;26289.13
2025.10.29 12:45;26289.42;26289.90;26270.11;26274.13
2025.10.29 13:00;26274.15;26282.91;26270.63;26281.17
2025.10.29 13:15;26280.88;26286.62;26260.65;26263.12
2025.10.29 13:30;26263.42;26266.38;26243.33;26246.86
2025.10.29 13:45;26246.87;26271.62;26246.38;26259.61
2025.10.29 14:00;26259.87;26274.67;26257.87;26269.13
2025.10.29 14:15;26269.15;26274.82;26257.41;26263.16
2025.10.29 14:30;26263.41;26290.62;26254.11;26274.91
2025.10.29 14:45;26275.86;26317.67;26265.36;26317.65
2025.10.29 15:00;26317.66;26324.92;26265.92;26285.31
2025.10.29 15:15;26285.11;26299.15;26276.13;26297.11
2025.10.29 15:30;26297.12;26307.31;26271.42;26276.11
2025.10.29 15:45;26276.62;26288.33;26242.86;26258.33
2025.10.29 16:00;26259.08;26276.66;26237.36;26254.37
2025.10.29 16:15;26254.11;26275.65;26238.36;26252.81
2025.10.29 16:30;26252.85;26258.07;26228.86;26232.37
2025.10.29 16:45;26232.36;26248.07;26218.06;26236.92
2025.10.29 17:00;26236.81;26239.88;26202.62;26223.87
2025.10.29 17:15;26224.13;26254.87;26221.38;26248.33
2025.10.29 17:30;26248.85;26258.10;26239.61;26253.32
2025.10.29 17:45;26253.88;26265.36;26240.42;26253.41
2025.10.29 18:00;26253.61;26265.12;26251.61;26259.42
2025.10.29 18:15;26259.36;26266.60;26218.65;26228.57
2025.10.29 18:30;26228.38;26256.62;26222.61;26255.12
2025.10.29 18:45;26254.88;26265.41;26240.36;26248.15
2025.10.29 19:00;26248.41;26283.66;26204.86;26222.88
2025.10.29 19:15;26223.37;26255.40;26212.90;26247.67
2025.10.29 19:30;26247.17;26280.41;26048.41;26070.91
2025.10.29 19:45;26070.16;26224.17;26063.63;26182.92
2025.10.29 20:00;26183.90;26219.73;26111.27;26194.24
2025.10.29 20:15;26194.99;26239.52;26152.78;26190.75
2025.10.29 20:30;26189.25;26218.27;26149.50;26195.73
2025.10.29 20:45;26193.28;26283.53;26191.99;26283.53
2025.10.29 21:00;26281.78;26374.80;26159.31;26228.79
2025.10.29 21:15;26228.00;26262.75;26180.79;26247.49
2025.10.29 21:30;26248.02;26270.53;26216.03;26265.29
2025.10.29 21:45;26265.27;26265.27;26265.27;26265.27
